CURSO,QT_INSC,AREA
ARQUITETURA E URBANISMO,245701.0,Exatas
CIÊNCIA DA COMPUTAÇÃO,132824.0,Exatas
EDUCAÇÃO DO CAMPO,4625.0,Exatas
FÍSICA,78711.0,Exatas
GEOLOGIA,7092.0,Exatas
INFORMÁTICA,12950.0,Exatas
MATEMÁTICA,212876.0,Exatas
QUÍMICA,98383.0,Exatas
AGRONOMIA,201060.0,Exatas
ASTRONOMIA,1294.0,Exatas
CIÊNCIAS CONTÁBEIS,627065.0,Exatas
CIÊNCIAS ECONÔMICAS,127853.0,Exatas
ENGENHARIA AEROESPACIAL,4513.0,Exatas
ENGENHARIA AERONÁUTICA,4299.0,Exatas
ENGENHARIA AGRÍCOLA,5184.0,Exatas
ENGENHARIA DE ALIMENTOS,25444.0,Exatas
ENGENHARIA AMBIENTAL,24699.0,Exatas
ENGENHARIA BIOMÉDICA,1899.0,Exatas
ENGENHARIA CARTOGRÁFICA,132.0,Exatas
ENGENHARIA CIVIL,432908.0,Exatas
ENGENHARIA DE COMPUTAÇÃO,69696.0,Exatas
ENGENHARIA DE CONTROLE E AUTOMAÇÃO,42875.0,Exatas
ENGENHARIA ELÉTRICA,165465.0,Exatas
ENGENHARIA FÍSICA,1245.0,Exatas
ENGENHARIA FLORESTAL,25077.0,Exatas
ENGENHARIA GEOLÓGICA,853.0,Exatas
ENGENHARIA DE MANUFATURA,407.0,Exatas
ENGENHARIA DE MATERIAIS,14420.0,Exatas
ENGENHARIA MECÂNICA,205348.0,Exatas
ENGENHARIA MECATRÔNICA,11017.0,Exatas
ENGENHARIA METALÚRGICA,4980.0,Exatas
ENGENHARIA NAVAL E OCEÂNICA,1026.0,Exatas
ENGENHARIA NUCLEAR,328.0,Exatas
ENGENHARIA DE PESCA,11444.0,Exatas
ENGENHARIA DE PETRÓLEO,5187.0,Exatas
ENGENHARIA DE PRODUÇÃO,219876.0,Exatas
ENGENHARIA QUÍMICA,48134.0,Exatas
ENGENHARIA SANITÁRIA,279.0,Exatas
ENGENHARIA DE SOFTWARE,14934.0,Exatas
ENGENHARIA DE TELECOMUNICAÇÕES,5533.0,Exatas
ESTATÍSTICA,11685.0,Exatas
GEOFÍSICA,62.0,Exatas
GEOLOGIA,7092.0,Exatas
SISTEMAS DE INFORMAÇÃO,105609.0,Exatas
ADMINISTRAÇÃO,2052256.0,Humanas
ADMINISTRAÇÃO PÚBLICA,42214.0,Humanas
ARTES,1772.0,Humanas
ARTES CÊNICAS,4454.0,Humanas
ARTES PLÁSTICAS,877.0,Humanas
ARQUEOLOGIA,1944.0,Humanas
ARQUIVOLOGIA,9622.0,Humanas
ARTES VISUAIS,54592.0,Humanas
BIBLIOTECONOMIA,21288.0,Humanas
CONSERVAÇÃO E RESTAURO,603.0,Humanas
DANÇA,6396.0,Humanas
DESIGN DE INTERIORES,43926.0,Humanas
DESIGN GRÁFICO,40242.0,Humanas
